,AUDIT_COMMITTEE_MEETINGS,SAY_PAY_SUPPORT_LEVEL,TOT_OTHER_COMP_AW_TO_CEO_&_EQUIV,TOTAL_EXEC_PAY_AS_PCT_OPEX,TOT_SALARIES_PAID_TO_CEO_&_EQUIV,TOT_SALARIES_&_BNS_PD_TO_EXECS,TOT_N_EQTY_INCENT_GIVEN_TO_EXECS,SAY_PAY_NUMBER_OF_VOTES_FOR,TOT_EXEC_PAY_AS_PCT_SG&A_NET_R&D,TOT_OPTION_AWARDS_GIVEN_TO_EXECS,TOT_EXEC_PAY_AS_PCT_TOT_PSNL_EXP,TOT_N_EQT_INCENT_GVN_TO_CEO_&_EQ,PCT_BOD_COMP_PD_IN_STK_AWD,NUM_EXECUTIVE_CHANGES,AVERAGE_BOD_TOTAL_COMPENSATION,ESG_DISCLOSURE_SCORE,CFO_TENURE_AS_OF_FY_END,CHG_OF_CTRL_BFIT_GOLD_CHUTE_AGR,CLAWBACK_PROVISION_FOR_EXEC_COMP,GENDER_PAY_GAP_BREAKOUT,BLANK_CHECK_PREFERRED_AUTHORIZED,Dates,Entreprises
0,5.318759216596715,79.884863411861,1541794.1630573089,0.09204108025790474,1997164.7146585928,12576522.188186042,1679074.45770391,484.5741697202558,0.19658543306730994,407228.43418598163,0.14806235109438193,1100597.3112753867,4.7302672893035655,5.130139677839839,49292.735584679394,35.8491,0.7671521401476425,0.35142822055794776,0.0,0.0,0.9999999587211822,2005-12-31,26
1,11.0,94.07017942652497,66800.92420454157,0.24848724727077168,757469.4948603391,9330052.14227637,0.0,1352.7731166495373,0.5170075449421982,0.0,0.20171479979111673,0.0,0.0,4.5752769958499995,126039.74080086494,50.566,1.0734596858058942,0.4285519271818004,0.28867855055720515,0.0,0.38127784888320543,2006-12-31,26
2,14.0,95.35360614238873,805227.3501072953,0.08431658510429281,1274684.527226846,8584855.772973947,1912399.6847982612,7559.399117571302,0.0562588362511946,2191482.998121417,0.21275927696442293,1108016.619509326,0.0,1.1545225620977027,192399.74446466018,60.0,9.867672000028008,0.20997493657770297,0.8248360103842384,0.293350557339135,0.2258236556032002,2007-12-31,26
3,13.0,96.05999126868831,2533749.8521043556,0.013811392371825252,705616.9335307181,3960815.0706982496,3099488.7476484473,5749.280786215303,0.013885904185889386,274527.8931546588,0.17583651785312968,2578843.0536512546,19.053500405325348,0.0,122060.54781115343,64.1509,5.698526598029702,0.026857635456909466,0.0,0.026857635456909466,0.0,2008-12-31,26
4,12.0,95.32500854798849,14236.341107958355,0.014426143684134458,2250000.0,4500000.0,2584415.601504889,2486.668895622831,0.03517122550385233,636381.1146920027,0.05137837236252561,2217967.5747670843,0.0,0.0,79619.24119642585,65.283,3.6509396599900543,0.22410186759392736,0.0,0.0,0.0,2009-12-31,26
5,13.0,95.50659905928055,19995.797270715822,0.002,2250000.0,4602000.0,3083605.3592212955,3319.002813010236,0.031120318630452275,202874.25959251783,0.0079,2612296.28814798,0.0,1.0,95975.86418013072,69.0566,4.434215359672646,0.28552619244877786,0.0,0.0,0.0,2010-12-31,26
6,16.0,96.73418968813725,84974.5327289111,0.002,2250000.0,5500000.0,2383912.7216786966,4803.843926686852,1.4038278428233393,82687.8630717623,0.0079,1853798.0540368208,3.5765779886516187,0.0,311569.45807421394,68.3019,4.189903810239879,0.188086086835796,0.0,0.0,0.0,2011-12-31,26
7,17.0,98.166,22016.280815214515,0.002,2250000.0,6185000.0,2199338.075236908,3963.68,0.11167766762128166,212227.83696474813,0.0079,1686847.257898069,0.0,1.0,114469.75579853819,72.4528,3.6444692189262735,0.0,0.0,0.0,0.0,2012-12-31,26
8,14.0,98.217,61000.0,0.1178,2817000.0,8073000.0,2226725.5875321836,3966.57,0.11806303207259611,160688.2703716445,0.6464,1145649.890645023,0.9341703080112026,0.0,391538.4615,68.6792,4.466676466344194,0.0,0.0,0.0,0.0,2013-12-31,26
9,10.0,98.642,66000.0,0.1208,2817000.0,7314000.0,1209481.3551608496,4217.79,0.19277918261910384,214079.56679701887,0.5347,717015.1539295076,0.758743722688898,1.0,308000.0,72.0755,5.194714941109151,0.0,0.0,1.0,0.0,2014-12-31,26
