,AUDIT_COMMITTEE_MEETINGS,SAY_PAY_SUPPORT_LEVEL,TOT_OTHER_COMP_AW_TO_CEO_&_EQUIV,TOTAL_EXEC_PAY_AS_PCT_OPEX,TOT_SALARIES_PAID_TO_CEO_&_EQUIV,TOT_SALARIES_&_BNS_PD_TO_EXECS,TOT_N_EQTY_INCENT_GIVEN_TO_EXECS,SAY_PAY_NUMBER_OF_VOTES_FOR,TOT_EXEC_PAY_AS_PCT_SG&A_NET_R&D,TOT_OPTION_AWARDS_GIVEN_TO_EXECS,TOT_EXEC_PAY_AS_PCT_TOT_PSNL_EXP,TOT_N_EQT_INCENT_GVN_TO_CEO_&_EQ,PCT_BOD_COMP_PD_IN_STK_AWD,NUM_EXECUTIVE_CHANGES,AVERAGE_BOD_TOTAL_COMPENSATION,ESG_DISCLOSURE_SCORE,CFO_TENURE_AS_OF_FY_END,CHG_OF_CTRL_BFIT_GOLD_CHUTE_AGR,CLAWBACK_PROVISION_FOR_EXEC_COMP,GENDER_PAY_GAP_BREAKOUT,BLANK_CHECK_PREFERRED_AUTHORIZED,Dates,Entreprises
0,4.6053504450234755,85.59079501999645,428989.5174829387,0.3766180763589262,1410766.2094278783,22204857.003951922,1771678.8512372936,891.9443224636713,-0.9019661494151769,1692408.8731846074,1.1572522407293238,1245047.3250849904,0.3613916571503921,1.263034754691365,235043.49615060195,35.8491,5.22708727276901,0.3211428824558581,0.32213626689280694,0.13838322678475024,0.13580015925831934,2005-12-31,26
1,11.0,85.59045056696422,428939.94789300347,0.4281491458697213,1410757.8666375717,22206134.313630372,1771657.410769291,891.8774633276395,0.16567732483296282,1692439.3466354776,0.8380552668700756,1245059.3120576148,0.5167656724112248,1.2627661685483462,235069.6582503629,50.566,5.227063386746062,0.2884009829211983,0.3057423141257818,0.3143375212266797,0.1681474506194507,2006-12-31,26
2,14.0,85.59020361677783,428905.30156358564,0.46323050645517116,1410751.810572178,22207025.89336878,1771642.352847214,891.830669395321,0.8088309950249624,1692460.5116734123,0.6463685310639211,1245067.6444858336,0.5972098490177444,1.26258020824172,235087.82996495097,60.0,5.227067044600905,0.2801532934921894,0.26256120172156905,0.4077591243694343,0.1837747169340027,2007-12-31,26
3,13.0,85.5900935935237,428890.1814615899,0.48770345745799415,1410748.987529614,22207414.86171467,1771635.6361161221,891.8102078773011,1.1038686225284344,1692469.5721093155,0.554667610449656,1245071.2341818642,0.5976197898888245,1.2624720431972627,235095.7846476066,64.1509,5.227085739175898,0.3005849274562852,0.19564635485773074,0.39276797909493055,0.19279135751935095,2008-12-31,26
4,12.0,92.754583074218,478496.5227599987,0.25100748147428487,2250000.0,4500000.0,2354521.5638644136,2827.2069517037808,1.4903461799243107,304713.8823515029,-0.07236799544820105,1390376.0967660774,3.0401748425517496,0.0,327369.64618071757,65.283,5.859255994250878,0.30703286359061754,0.2945595408118198,0.454801041790887,0.020474525334119642,2009-12-31,26
5,13.0,92.71731058879881,478152.9681949043,0.002,2250000.0,4602000.0,2356119.3168626083,2820.4683924252295,-0.020987230549579294,312580.10571269796,0.0079,1392205.3031940376,2.9640579769893236,1.0,327369.89774840075,69.0566,5.85920003691364,0.3075232590541449,0.165229439430556,0.6306833328666883,-0.1936611295921098,2010-12-31,26
6,16.0,92.38897761856165,475127.77220303053,0.002,2250000.0,5500000.0,2370185.958679865,2761.1423699987226,0.020608080512754867,381835.27208220644,0.0079,1408309.474033351,2.848811188621653,0.0,327372.53650698,68.3019,5.85917559861052,0.23818651751879416,0.230732418692158,0.7090133635931437,-0.17728640512109872,2011-12-31,26
7,17.0,98.166,507596.9245755845,0.002,2250000.0,6185000.0,2372210.0686809393,3963.68,-0.41613812611884526,432361.05955432646,0.0079,1417710.4016522402,2.7868291108547396,1.0,342356.7729001551,72.4528,6.026171424844399,0.0,0.0,0.7423094769855041,-0.2603656209030134,2012-12-31,26
8,14.0,98.217,61000.0,0.1178,2817000.0,8073000.0,2951352.8046983313,3966.57,-1.037874975255292,591235.6086657239,0.6464,1744748.0307629341,1.8547439760334044,0.0,391538.4615,68.6792,6.435167066823048,0.0,0.0,0.5512847849553708,-0.42457291340048875,2013-12-31,26
9,10.0,98.642,66000.0,0.1208,2817000.0,7314000.0,3022081.478380979,4217.79,-0.9465854803842539,531406.727085868,0.5347,1767398.5511133517,1.8921859335171973,1.0,308000.0,72.0755,5.866755499822741,0.0,0.0,1.0,-0.2726787138121478,2014-12-31,26
10,15.0,97.841,66000.0,0.0766,2817000.0,6155000.0,3000776.8901508516,4370.91,-0.7163403609337333,441061.09722055786,0.3572,1745378.1988365585,2.1396862927715006,0.0,311000.0,71.3208,5.892888560537672,0.0,0.0,1.0,-0.26074366749094646,2015-12-31,26
11,13.0,96.738,68000.0,0.0826,2250000.0,5435000.0,2225808.6017919816,4463.57,-3.286096330150686,84000.0,0.3764,1361704.137908272,2.367827276767315,0.0,332642.8571,73.9623,5.970601494147264,0.0,0.0,1.0,-0.6085367526593071,2016-12-31,26
12,11.0,94.174,68000.0,0.085,2250000.0,7300000.0,-53794760.155215085,4298.45,-27.282542019252723,92000.0,0.417,-23130292.004182708,0.0,1.0,56842000.0,69.8113,397.08278333026493,0.0,0.0,1.0,-46.74624362979449,2017-12-31,26
13,12.0,92.579,157000.0,0.0943,2817000.0,7615000.0,2530790.0784235066,4232.82,-3.1579956907516387,92000.0,0.4666,1585845.9009812586,0.0,0.0,660250.0,68.6792,8.117534250385063,0.0,0.0,1.0,-0.8568115856854666,2018-12-31,26
14,12.0,91.945,72000.0,0.091,2817000.0,8340000.0,2530833.7513334807,4369.12,-3.1750826437554345,92000.0,0.4406,1599990.0246929242,0.0,0.0,660250.0,70.566,8.145956835185064,0.0,0.0,1.0,-0.8759141768160894,2019-12-31,26
