Dates;Entreprises;NUMBER_EMPLOYEES_CSR;AUDIT_COMMITTEE_MEETINGS;^GSPC;^N100;SAY_PAY_SUPPORT_LEVEL;TOT_OTHER_COMP_AW_TO_CEO_&_EQUIV;TOTAL_EXEC_PAY_AS_PCT_OPEX;TOT_SALARIES_PAID_TO_CEO_&_EQUIV;TOT_SALARIES_&_BNS_PD_TO_EXECS;TOT_N_EQTY_INCENT_GIVEN_TO_EXECS;SAY_PAY_NUMBER_OF_VOTES_FOR;TOT_EXEC_PAY_AS_PCT_SG&A_NET_R&D;TOT_OPTION_AWARDS_GIVEN_TO_EXECS;TOT_EXEC_PAY_AS_PCT_TOT_PSNL_EXP;TOT_N_EQT_INCENT_GVN_TO_CEO_&_EQ;PCT_BOD_COMP_PD_IN_STK_AWD;NUM_EXECUTIVE_CHANGES;AVERAGE_BOD_TOTAL_COMPENSATION;ESG_DISCLOSURE_SCORE;CFO_TENURE_AS_OF_FY_END;CHG_OF_CTRL_BFIT_GOLD_CHUTE_AGR;CLAWBACK_PROVISION_FOR_EXEC_COMP;GENDER_PAY_GAP_BREAKOUT;BLANK_CHECK_PREFERRED_AUTHORIZED;yearly_return;^STOXX50E
2005-12-31;IBE SM Equity;8252.0;;0.03001022658127717;0.24194382281582086;83.6022576466738;-856947.9928612236;10.213526244895439;1962260.2114871894;18479145.76714301;2123847.534582259;2448.818134062227;4.6092567807013145;-342739.23131671106;-1.8295888923647028;92069.00589495536;0.9438852530125381;2.1762104068977557;885592.012231938;35.8491;4.3267934686051115;0;0;0;0;28.236629999999998;0.23060788906712476
2006-12-31;IBE SM Equity;8130.0;11.0;0.13597800585018627;0.19175369386878935;88.86679297203732;2008644.4176485594;1.1058413211773814;1621757.288102379;31048478.60202702;357028.3806832329;2017.8094606751959;-3.9916964837499145;-1648884.1976685212;0.09705373334848255;730282.3758454443;1.568643056119495;2.6708644330597995;1571167.1754737077;50.566;3.920247025972192;0;0;0;0;48.61864;0.12608706323169705
2007-12-31;IBE SM Equity;26196.0;14.0;0.020817626510975632;0.008403105062703808;91.24154024028165;-43838.11995806947;0.7775049251369257;1694598.7738252361;48154693.51320815;1684241.7985619851;2363.55775272575;0.6935986894596886;669638.3989866595;0.6606172311837227;912343.1314625994;1.0596635428810077;1.6655777956811793;474453.58156624436;60.0;3.4494455376282938;0;0;0;0;29.17833;0.05002243845883725
2008-12-31;IBE SM Equity;30481.0;13.0;-0.35810856166087257;-0.4186380198534567;88.88761409652574;957277.5953499892;2.48673721907277;1582255.6640995669;13144064.912835153;1157440.110357065;1416.9008882682901;0.16020778375952538;315237.5729942864;0.5521344283027758;675236.7230309796;1.341306329255337;1.573377120258829;-43021.19606456361;64.1509;4.984453920595675;0;0;0;0;-35.18108;-0.4114961197953512
2009-12-31;IBE SM Equity;30964.0;12.0;0.2016746979887245;0.20124958740542387;89.79463285849555;1494125.1288977098;1.2245150067735837;2250000.0;4500000.0;941706.6782062073;813.2715818834431;-1.7068682122586352;-332478.9576722516;1.7205691822330378;937390.7448353211;0.12131898829834631;0.0;264088.90283754544;65.283;4.396297236298392;0;0;0;0;9.901044;0.16583460608511724
2010-12-31;IBE SM Equity;31344.0;13.0;0.12633439234884314;0.014758810779721632;89.86226723170888;2007242.7253646695;0.0020000000000000018;2250000.0;4602000.0;859033.8149707594;410.8675474965653;-2.678052699335614;-1163021.6376588843;0.007900000000000018;785919.3435028936;-1.4832007007998422;1.0;173921.02861102115;69.0566;3.9409760941998546;0;0;0;0;-7.956673;-0.056170741353302016
2011-12-31;IBE SM Equity;32809.0;16.0;0.0009859816472339578;-0.1317874774261938;89.26334879580999;-534480.032927629;0.0020000000000000018;2250000.0;5500000.0;2098656.113506622;2163.2859780050608;0.6623505492319324;514533.4328682048;0.007900000000000018;831925.0307899581;0.7545236908117743;0.0;829377.9339589794;68.3019;4.313892283239707;0;0;0;0;-13.296549999999998;-0.15400529625231962
2012-12-31;IBE SM Equity;30744.0;17.0;0.1617019056626079;0.15008838192295235;98.166;-688354.4093662058;0.0020000000000000018;2250000.0;6185000.0;2027218.045158328;3963.6799999999994;-1.0196018921380445;1606407.4154660797;0.007900000000000018;765399.3764432484;3.779851185424744;1.0;1681424.7143611736;72.4528;3.9422277580499587;0;0;0;0;-5.8675760000000015;0.1391163144742007
2013-12-31;IBE SM Equity;30650.0;14.0;0.2535454287072507;0.15261624386330985;98.21700000000001;61000.0;0.11780000000000002;2817000.0;8073000.0;2155758.1568097183;3966.57;1.3159883660767804;828481.7273227719;0.6464;581779.3135667162;2.9562993463465457;0.0;391538.4615;68.6792;4.617614225415736;0;0;0;0;19.085739999999998;0.1327333490511604
2014-12-31;IBE SM Equity;29597.0;10.0;0.1206790194155467;0.03677604077121965;98.64200000000001;66000.0;0.12080000000000002;2817000.0;7314000.0;2281484.081003657;4217.79;0.6686708420800075;576905.456359641;0.5347;926021.0068581571;1.7555440865533527;1.0;308000.0;72.0755;4.333103996033952;0;0;1;0;30.092190000000002;0.02018307261370711
2015-12-31;IBE SM Equity;28860.0;15.0;-0.007904825985452724;0.07967845668137352;97.84100000000001;66000.0;0.0766;2817000.0;6155000.0;1341593.9019457598;4370.91;-1.4604144971598791;-823802.9607312316;0.3572000000000001;1059949.2608155203;-0.07921681282059811;0.0;311000.0;71.3208;3.925651104118987;0;0;1;0;19.83563;0.044518198599653225
2016-12-31;IBE SM Equity;30591.0;13.0;0.1046855668232265;0.050606783907550135;96.738;68000.0;0.08259999999999995;2250000.0;5435000.0;1879423.826830663;4463.57;1.7708489586822003;84000.0;0.3764;523283.6229346036;2.4925141148202603;0.0;332642.8571;73.9623;4.341200606881552;0;0;1;0;-0.2808939999999982;0.015468421523568976
2017-12-31;IBE SM Equity;34255.0;11.0;0.198208368270798;0.09478953255324174;94.17399999999999;68000.0;0.08500000000000002;2250000.0;7300000.000000002;2822725.120611376;4298.45;2.3821973678635784;92000.0;0.41700000000000004;730282.3758454443;0.0;1.0;56842000.0;69.8113;6.827795528284787;0;0;1;0;8.72978;0.05317903697204618
2018-12-31;IBE SM Equity;34078.0;12.0;-0.07633121497749308;-0.12635646335293693;92.579;157000.0;0.0943;2817000.0;7615000.0;1351084.4856867052;4232.82;-0.08999443720924538;92000.0;0.4666;752149.4144489137;0.0;0.0;660250.0;68.6792;3.7809848684173026;0;0;1;0;14.04585;-0.14733312932946283
2019-12-31;IBE SM Equity;35374.0;12.0;0.3002384464476182;0.2810562486423651;91.945;71999.99999999994;0.09100000000000003;2817000.0;8340000.0;2630468.79927708;4369.12;-4.357214837860386;92000.0;0.44059999999999994;880052.199812433;0.0;0.0;660250.0;70.566;5.982736606785211;0;0;1;0;36.74603;0.2693366319549069
2005-12-31;ISP IM Equity;43666.0;;0.03001022658127717;0.24194382281582086;92.54959626880611;-2570203.9565706677;6.474467665558912;2534013.988937961;-144946281.20270124;3565825.0791209685;3079.8925957976653;0.18454652545279293;-114277.70957383467;-0.0464869228498378;711056.5231418583;2.2957285058879084;0.29201543365152205;312480.96533525287;47.806999999999995;4.442695355427758;0;0;1;0;30.101509999999998;0.23060788906712476
2006-12-31;ISP IM Equity;42727.0;;0.13597800585018627;0.19175369386878935;89.22087715438091;-2320.603240759205;1.2204186068689786;1510255.2057311607;-290535888.3036937;1894502.7313589659;4017.8934024172204;-2.5453931202338196;-257021.57442709547;-4.960699777016101;-1119.2283031917177;3.9905101802197036;-0.11116765559855235;1596270.4459203368;51.7544;4.07557859176577;0;0;0;0;36.78733;0.12608706323169705
2007-12-31;ISP IM Equity;95295.0;;0.020817626510975632;0.008403105062703808;91.58963656412888;261712.5793097257;0.029500000000000026;2423000.0;4298000.0;1830795.5190105536;2061.548405924376;0.42927075068520265;-74047.07903515897;0.055400000000000005;784476.3774610857;-0.3984456210586478;2.0;-130735.89370688816;54.386;3.384293830867965;0;0;0;0;-1.3980219999999992;0.05002243845883725
2008-12-31;ISP IM Equity;106269.0;50.0;-0.35810856166087257;-0.4186380198534567;82.69459797205917;0.0;0.029500000000000026;2000000.0;5745350.0;942790.2927533523;793.9392754721969;-0.8262059478439724;564848.2172982701;0.055400000000000005;733048.9392719124;2.594846125047235;1.0;1968905.4660569516;65.7895;4.061780668480079;0;0;0;0;-48.92102;-0.4114961197953512
2009-12-31;ISP IM Equity;101700.0;53.0;0.2016746979887245;0.20124958740542387;90.47320010358324;0.0;0.029500000000000026;2000000.0;6550350.0;2237549.6526849954;1981.765582147841;-1.4688938492042216;392060.1521728096;0.055400000000000005;911899.8462139114;2.177239315146918;0.0;354321.14327456435;67.1053;4.906801180134599;0;0;0;0;24.137929999999997;0.16583460608511724
2010-12-31;ISP IM Equity;100740.0;53.0;0.12633439234884314;0.014758810779721632;89.99416854450992;0.0;0.029500000000000026;2000000.0;62099121.0;976587.033570935;561.7717560177753;-2.382950107996401;-1189710.5794439577;0.055400000000000005;760839.6475523887;-2.0377702969684877;11.0;243488.93457097726;70.61399999999999;3.592527565804664;0;0;0;0;-33.10053;-0.056170741353302016
2011-12-31;ISP IM Equity;97860.0;46.0;0.0009859816472339578;-0.1317874774261938;86.16324105380447;0.0;0.053599999999999925;1323000.0;4183000.0;3299844.4674628377;3022.6562454650393;-0.580596870854848;197633.17520571058;0.09619999999999995;818026.0073745467;1.7354764274193926;3.0;274142.8571;70.1754;3.6293615566440955;0;1;0;0;-29.023629999999997;-0.15400529625231962
2012-12-31;ISP IM Equity;95402.0;46.0;0.1617019056626079;0.15008838192295235;93.37378716614423;0.0;0.10259999999999997;2300000.0;7862000.0;2514078.756446704;2622.3623230733306;0.670158981879454;-62599.21267112065;0.19369999999999998;810967.6102136398;0.8436459558190632;2.0;243600.0;72.807;4.5833;0;1;1;0;5.573732999999999;0.1391163144742007
2013-12-31;ISP IM Equity;93212.0;48.0;0.2535454287072507;0.15261624386330985;96.62299999999999;436000.0;0.1023;3333000.0;8608000.000000002;1541416.2600113829;8956.12;-0.45313070093346053;-586411.0054634735;0.24770000000000003;696952.4275027751;-1.0388544324176179;5.0;285777.7778;74.1228;5.5833;0;1;0;0;42.73576;0.1327333490511604
2014-12-31;ISP IM Equity;88932.0;51.0;0.1206790194155467;0.03677604077121965;96.62299999999999;119000.0;0.07519999999999993;1634000.0;5371000.0;2621279.1291077817;8956.12;2.0443450332120587;361516.0256385028;0.14790000000000003;644941.7332946111;1.9641747472980116;1.0;245250.0;76.7544;1.6667;0;1;1;0;38.05448;0.02018307261370711
2015-12-31;ISP IM Equity;87642.0;48.0;-0.007904825985452724;0.07967845668137352;96.62299999999999;119000.0;0.05629999999999996;1650000.0;5135000.0;1044640.5366833591;8956.12;-0.807699912315928;-16833.130876149284;0.11419999999999997;642805.0971076628;-0.12383412439039265;0.0;253300.0;71.9298;2.6667000000000005;0;1;1;0;30.249120000000005;0.044518198599653225
2016-12-31;ISP IM Equity;95025.0;19.0;0.1046855668232265;0.050606783907550135;96.62299999999999;338000.0;0.06169999999999998;2412000.0;5336000.0;1894502.7313589659;8956.12;-4.027758943016272;-540405.0975190245;0.1199;730282.3758454443;5.063584638697984;2.0;327000.0;70.61399999999999;3.6667;0;1;1;0;-16.373959999999997;0.015468421523568976
