Dates;date;Entreprises;NUMBER_EMPLOYEES_CSR;yearly_return;SP 500;AUDIT_COMMITTEE_MEETINGS;SAY_PAY_SUPPORT_LEVEL;TOT_OTHER_COMP_AW_TO_CEO_&_EQUIV;TOTAL_EXEC_PAY_AS_PCT_OPEX;TOT_SALARIES_PAID_TO_CEO_&_EQUIV;TOT_SALARIES_&_BNS_PD_TO_EXECS;TOT_N_EQTY_INCENT_GIVEN_TO_EXECS;SAY_PAY_NUMBER_OF_VOTES_FOR;TOT_EXEC_PAY_AS_PCT_SG&A_NET_R&D;TOT_OPTION_AWARDS_GIVEN_TO_EXECS;TOT_EXEC_PAY_AS_PCT_TOT_PSNL_EXP;TOT_N_EQT_INCENT_GVN_TO_CEO_&_EQ;PCT_BOD_COMP_PD_IN_STK_AWD;NUM_EXECUTIVE_CHANGES;AVERAGE_BOD_TOTAL_COMPENSATION;ESG_DISCLOSURE_SCORE;CFO_TENURE_AS_OF_FY_END;CHG_OF_CTRL_BFIT_GOLD_CHUTE_AGR;CLAWBACK_PROVISION_FOR_EXEC_COMP;GENDER_PAY_GAP_BREAKOUT;BLANK_CHECK_PREFERRED_AUTHORIZED
2005-12-31;2005-12-31;IBE SM Equity;8252.0;28.236629999999998;-30.3;6.48779972983219;90.4931916709666;235770.82371943898;0.365894055793479;1606478.6269627989;43632838.87887631;988876.3198338604;962.5254629232695;3.644450015514913;913307.8873480612;1.3748482814592293;424285.95810631;2.074992656463053;1.2874920014376086;125630.92156806661;35.8491;4.205010485995721;0;0;0;0
2006-12-31;2006-12-31;IBE SM Equity;8130.0;48.61864;13.62;11.0;93.10053020815025;167610.84573386074;2.080062951683157;1468357.7226851669;131908038.24966869;1247022.5635004519;3171.1665180056966;-0.2707966732346121;1986586.176206352;-2.4975968729881424;47899.14069525327;2.2614575878197822;0.984819866551081;1644613.6022709627;50.566;6.206886043845637;0;0;0;0
2007-12-31;2007-12-31;IBE SM Equity;26196.0;29.17833;3.53;14.0;93.03429518720135;528766.4906541012;-0.7916482533144618;1243305.913568885;228504717.38198373;1131873.4048108344;1566.5197227500587;3.625231226875193;2099273.697887166;5.99470023022597;-293454.54361219984;4.427170236459622;0.5008805423248501;-2093539.8331624877;60.0;5.155664851647156;0;0;0;0
2008-12-31;2008-12-31;IBE SM Equity;30481.0;-35.18108;-38.49;13.0;92.58819999574735;440054.7735066145;2.4631620580928395;1260661.7415837944;108236280.17199767;844593.0897638367;2079.2310998880916;-0.7768508699686074;1968498.7089304347;0.14993509991944987;665768.6177241827;2.868673165938033;1.2572537523840335;-452728.01967766014;64.1509;3.9039453867964915;0;0;0;0
2009-12-31;2009-12-31;IBE SM Equity;30964.0;9.901044;23.45;12.0;90.30909717633386;781687.408081134;2.0626138553470508;2250000.0;4500000.0;1836458.5871627494;2807.2689842710324;-0.30640063267787854;1849154.2201751382;-6.298929889620981;1048484.7145891888;5.599113986382507;0.0;1209950.08596209;65.283;4.038696409677371;0;0;0;0
2010-12-31;2010-12-31;IBE SM Equity;31344.0;-7.956672999999999;12.78;13.0;92.67445761730762;414298.5040725651;0.0020000000000000018;2250000.0;4602000.0;1189138.3076564842;2118.06327552144;2.742875271895924;2457799.1368314875;0.007900000000000018;267677.5750335614;3.4490955420633567;1.0;-1040445.0792729573;69.0566;4.747602485803048;0;0;0;0
2011-12-31;2011-12-31;IBE SM Equity;32809.0;-13.29655;-30.0;16.0;94.71720987232273;363705.7134359355;0.0020000000000000018;2250000.0;5500000.0;573708.165102348;1618.8378130586748;0.12054787588243876;1753527.6424937376;0.007900000000000018;259279.80707049707;2.6336532154195775;0.0;-585412.1399940958;68.3019;4.402290717485724;0;0;0;0
2012-12-31;2012-12-31;IBE SM Equity;30744.0;-5.867576000000001;13.41;17.0;98.166;719963.3804041232;0.0020000000000000018;2250000.0;6185000.000000004;854595.3844652835;3963.68;-1.146321996600669;1909598.000924199;0.007900000000000018;822406.2196552643;3.6201025385158805;1.0;-926786.974499916;72.4528;3.400313618522464;0;0;0;0
2013-12-31;2013-12-31;IBE SM Equity;30650.0;19.085739999999998;29.6;14.0;98.21700000000001;61000.0;0.11780000000000002;2817000.0;8073000.0;1021266.7349888076;3966.57;1.2780589729536784;1733496.8175999105;0.6464;405642.3428775205;2.9361419326885905;0.0;391538.4615;68.6792;4.263369760526119;0;0;0;0
2014-12-31;2014-12-31;IBE SM Equity;29597.0;30.092190000000002;11.39;10.0;98.64200000000001;66000.00000000003;0.12080000000000007;2817000.0;7314000.0;868742.8410613759;4217.79;2.377765973845042;1307103.6493586549;0.5347;250041.5518625329;2.654975386893517;1.0;308000.0;72.0755;4.777574267022491;0;0;1;0
2015-12-31;2015-12-31;IBE SM Equity;28860.0;19.83563;-0.73;15.0;97.84100000000001;66000.00000000003;0.0766;2817000.0;6155000.0;1269907.4126964768;4370.91;2.822371873349463;1594378.2713076232;0.3572;300737.13838201296;2.0516386008473657;0.0;311000.0;71.3208;5.199072527158197;0;0;1;0
2016-12-31;2016-12-31;IBE SM Equity;30591.0;-0.28089400000000003;9.54;13.0;96.738;67999.99999999997;0.0826;2250000.0;5435000.0;1382969.4262097618;4463.57;-0.8071392787549572;84000.0;0.3764;1090538.5571309596;4.746883000468557;0.0;332642.8571;73.9623;3.6788163302924106;0;0;1;0
2017-12-31;2017-12-31;IBE SM Equity;34255.0;8.72978;19.42;11.0;94.17399999999999;67999.99999999997;0.08499999999999996;2250000.0;7300000.0;1092883.9655677811;4298.45;4.061858081283819;92000.0;0.41700000000000004;1192843.2873846432;0.0;1.0;56842000.0;69.8113;3.973492840472141;0;0;1;0
2018-12-31;2018-12-31;IBE SM Equity;34078.0;14.04585;-6.24;12.0;92.579;157000.0;0.09430000000000005;2817000.0;7615000.0;1526260.6118263141;4232.82;6.6179047734150585;92000.0;0.4666;731448.0174099307;0.0;0.0;660250.0;68.6792;4.175384688298226;0;0;1;0
